,state_code,state_name,site_number,local_site_name,county_code,total_params,Ozone,Carbon monoxide,Nitrogen dioxide (NO2),Wind Speed,Wind Direction,Relative Humidity ,Outdoor Temperature,Barometric pressure
4,42,Pennsylvania,0008,Lawrenceville,003,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,42,Pennsylvania,0014,None,007,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,42,Pennsylvania,0007,A420710007LAT/LON POINT AT CORNER OF TRAILER,071,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,42,Pennsylvania,0012,A420170012LAT/LONG POINT IS OF SAMPLING INLET,017,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,42,Pennsylvania,0013,A420910013LAT/LON POINT IS OF CORNER OF TRAILER,091,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,42,Pennsylvania,0015,None,073,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,42,Pennsylvania,0024,North East Airport (NEA),101,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,42,Pennsylvania,0401,A420430401LAT/LON POINT IS AT CORNER OF TRAILER,043,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,42,Pennsylvania,0801,None,013,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,44,Rhode Island,0002,AJ,003,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,45,South Carolina,1001,SANDHILL EXPERIMENTAL STATION,079,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,47,Tennessee,0007,Hendersonville Ozone Site at Old Hickory Dam,165,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,47,Tennessee,0011,East Health,037,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,47,Tennessee,0021,Frayser Ozone Monitor,157,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,47,Tennessee,0026,Percy Priest Dam,037,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,47,Tennessee,1011,Soddy-Daisy High School,065,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,48,Texas,0024,Houston Aldine,201,5.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1,48,Texas,1002,Fort Worth Northwest,439,5.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
2,48,Texas,0014,Austin North Hills Drive,453,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
0,51,Virginia,0020,Aurora Hills Visitors Center,013,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0,53,Washington,0010,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),033,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
